stop_id, stop_name, stop_desc, stop_lat, stop_lon, zone_id, stop_url
TR, Trenton, , 40.2177778, -74.7550000, 6, 
LVTN, Levittown-Tullytown, , 40.1402778, -74.8169444, 5, 
BRST, Bristol, , 40.1047222, -74.8547222, 4, 
CROY, Croydon, , 40.0936111, -74.9066667, 4, 
EDGT, Eddington, , 40.0830556, -74.9336111, 4, 
CORN, Cornwells Heights, , 40.0716667, -74.9522222, 3, 
TORR, Torresdale, , 40.0544444, -74.9844444, 3, 
HOLM, Holmesburg Jct, , 40.0327778, -75.0236111, 2, 
TCNY, Tacony, , 40.0233333, -75.0388889, 2, 
BRDB, Bridesburg, , 40.0105556, -75.0697222, 2, 
WT, West Trenton, , 40.2577778, -74.8152778, 6, 
YDLY, Yardley, , 40.2352778, -74.8305556, 5, 
WDBR, Woodbourne, , 40.1925000, -74.8891667, 5, 
LANG, Langhorne, , 40.1608333, -74.9125000, 4, 
TREV, Trevose, , 40.1402778, -74.9825000, 4, 
SOMT, Somerton, , 40.1305556, -75.0119444, 3, 
FORH, Forest Hills, , 40.1277778, -75.0205556, 3, 
PHLM, Philmont, , 40.1219444, -75.0436111, 3, 
BTHR, Bethayres, , 40.1166667, -75.0683333, 3, 
MDBK, Meadowbrook, , 40.1113889, -75.0925000, 3, 
RYDL, Rydal, , 40.1075000, -75.1105556, 3, 
NOBL, Noble, , 40.1044444, -75.1241667, 3, 
DY, Doylestown, , 40.3063889, -75.1302778, 5, 
DLVL, Delaware Valley College, , 40.2955556, -75.1566667, 5, 
NWBT, New Britain, , 40.2975000, -75.1797222, 5, 
LINK, Link Belt, , 40.2738889, -75.2466667, 5, 
FRTU, Fortuna, , 40.2594444, -75.2661111, 5, 
LA, Lansdale, , 40.2427778, -75.2850000, 5, 
CHAL, Chalfont, , 40.2877778, -75.2097222, 5, 
COLM, Colmar, , 40.2683333, -75.2544444, 5, 
PBST, Pennbrook, , 40.2302778, -75.2816667, 5, 
NWST, North Wales, , 40.2141667, -75.2772222, 4, 
PNLN, Penllyn, , 40.1700000, -75.2441667, 4, 
AMBL, Ambler, , 40.1536111, -75.2247222, 3, 
FTWA, Fort Washington, , 40.1358333, -75.2122222, 3, 
ORLD, Oreland, , 40.1183333, -75.1838889, 3, 
NOHL, North Hills, , 40.1119444, -75.1694444, 3, 
WM, Warminster, , 40.1952778, -75.0891667, 4, 
HATB, Hatboro, , 40.1761111, -75.1025000, 4, 
CRST, Crestmont, , 40.1333333, -75.1186111, 3, 
ROSL, Roslyn, , 40.1208333, -75.1341667, 3, 
ARDS, Ardsley, , 40.1141667, -75.1530556, 3, 
ELPK, Elkins Park, , 40.0713889, -75.1277778, 2, 
MLPK, Melrose Park, , 40.0594444, -75.1291667, 2, 
FRTC, Fern Rock T C, , 40.0405556, -75.1347222, 1, 
WJ, Wayne Junction, , 40.0222222, -75.1600000, 1, 
FC, Fox Chase, , 40.0763889, -75.0833333, 2, 
RYER, Ryers, , 40.0641667, -75.0863889, 2, 
CHHM, Cheltenham, , 40.0580556, -75.0927778, 1, 
LAWN, Lawndale, , 40.0513889, -75.1030556, 1, 
OLNY, Olney, , 40.0333333, -75.1227778, 1, 
CE, Chestnut Hill East, , 40.0811111, -75.2072222, 2, 
GRAV, Gravers, , 40.0775000, -75.2016667, 2, 
WYND, Wyndmoor, , 40.0733333, -75.1966667, 2, 
MTAI, Mount Airy, , 40.0652778, -75.1908333, 2, 
SGWK, Sedgwick, , 40.0627778, -75.1852778, 2, 
STNT, Stenton, , 40.0605556, -75.1786111, 2, 
WALA, Washington Lane, , 40.0508333, -75.1713889, 2, 
